,3-gram,*/*
0,THE,69221160871
1,AND,26468697834
2,ING,21289988294
3,ION,20449402244
4,TIO,16819216214
5,ENT,15514431359
6,ATI,11778016773
7,FOR,11352182252
8,HER,10921772146
9,TER,10298054230
10,HAT,9595332482
11,THA,9447439870
12,ERE,8939106849
13,ATE,8757480213
14,HIS,8073090301
15,CON,8068814778
16,RES,7496974307
17,VER,7415630371
18,ALL,7317964040
19,ONS,7187472617
20,NCE,6936472580
21,MEN,6889167446
22,ITH,6795041998
23,TED,6610757134
24,ERS,6524449179
25,PRO,6441091673
26,THI,6357454845
27,WIT,6270098257
28,ARE,6050931663
29,ESS,5961685248
30,NOT,5871622477
31,IVE,5738676234
32,WAS,5723542738
33,ECT,5633214660
34,REA,5614636634
35,COM,5512716986
36,EVE,5367611215
37,PER,5340402298
38,INT,5272125236
39,EST,5093021295
40,STA,5003705570
41,CTI,4965296625
42,ICA,4851083411
43,IST,4696789776
44,EAR,4565761282
45,AIN,4507928531
46,ONE,4425109105
47,OUR,4406006814
48,ITI,4405426644
49,RAT,4343095846
50,NTE,4326059573
51,TIN,4314722175
52,INE,4289473708
53,DER,4270017146
54,OME,4215212970
55,MAN,4170329466
56,PRE,4165466522
57,ROM,4120910706
58,TRA,4103386993
59,WHI,4056368486
60,AVE,4051571914
61,STR,4004702365
62,ACT,3996307044
63,ILL,3995118251
64,URE,3944467758
65,IDE,3916831962
66,OVE,3916118810
67,CAL,3912525152
68,BLE,3874673895
69,OUT,3862229953
70,STI,3838372232
71,TIC,3827724881
72,OUN,3822970506
73,ENC,3804294828
74,ORE,3797463503
75,ANT,3755591976
76,ITY,3740314311
77,FRO,3734044758
78,ART,3726591176
79,TUR,3716216523
80,PAR,3691428919
81,RED,3671917165
82,OTH,3662729446
83,ERI,3634984261
84,HIC,3617867236
85,IES,3606387088
86,STE,3592565889
87,GHT,3589011577
88,ICH,3577428959
89,IGH,3553478573
90,UND,3541129200
91,YOU,3526888940
92,ORT,3525114055
93,ERA,3467154217
94,WER,3454801393
95,NTI,3452787542
96,OUL,3393996042
97,NDE,3371859569
98,IND,3370038532
99,THO,3369505315
100,HOU,3342574324
101,NAL,3328174739
102,BUT,3288060978
103,HAV,3269289459
104,ULD,3260062247
105,USE,3249161948
106,HAN,3236577761
107,HIN,3192784848
108,EEN,3150099353
109,CES,3146412304
110,COU,3131814971
111,LAT,3128928842
112,TOR,3117606678
113,ESE,3083065459
114,AGE,3079371068
115,AME,3063470381
116,RIN,3061940657
117,ANC,3061152975
118,TEN,3046276919
119,HEN,3028124771
120,MIN,3014281990
121,EAS,2978912999
122,CAN,2944892098
123,LIT,2944248001
124,CHA,2937894826
125,OUS,2923340166
126,EAT,2920916694
127,END,2874159170
128,SSI,2855479709
129,IAL,2846884929
130,LES,2840778947
131,REN,2834101790
132,TIV,2823963719
133,NTS,2819913821
134,WHE,2819913224
135,TAT,2816539690
136,ABL,2813941563
137,DIS,2773684939
138,RAN,2756632817
139,WOR,2730928730
140,ROU,2725119281
141,LIN,2717930332
142,HAD,2716612700
143,SED,2712220619
144,ONT,2709693161
145,PLE,2709301962
146,UGH,2701766755
147,INC,2670371826
148,SIO,2666874725
149,DIN,2664194678
150,RAL,2641166088
151,UST,2626257068
152,TAN,2585346335
153,NAT,2583946305
154,INS,2580114109
155,ASS,2562588038
156,PLA,2561364747
157,VEN,2561186428
158,ELL,2560301401
159,SHE,2537293543
160,OSE,2536016912
161,ITE,2534327799
162,LLY,2527757315
163,REC,2526083797
164,LAN,2505261403
165,ARD,2487791987
166,HEY,2482083623
167,RIE,2479665577
168,POS,2464211596
169,EME,2455833072
170,MOR,2447547857
171,DEN,2429526864
172,OUG,2428002205
173,TTE,2421458175
174,NED,2407171853
175,RIT,2393330568
176,IME,2376231548
177,SIN,2346887414
178,AST,2340144326
179,ANY,2326409599
180,ORM,2324611512
181,NDI,2324589034
182,ONA,2322176393
183,SPE,2318638245
184,ENE,2315419652
185,HEI,2313435041
186,RIC,2308293732
187,ICE,2294801209
188,ORD,2286715485
189,OMP,2282867653
190,NES,2282287423
191,SEN,2279307132
192,TIM,2278831703
193,TRI,2274907285
194,ERN,2267519557
195,TES,2254187013
196,POR,2253847267
197,APP,2250639905
198,LAR,2206970736
199,NTR,2204208420
200,EIR,2204032234
201,SHO,2200493723
202,SON,2170183171
203,CAT,2166573173
204,LLE,2165623064
205,NER,2164964142
206,HES,2163142912
207,WHO,2160306172
208,MAT,2157479849
209,ASE,2154434497
210,KIN,2151792089
211,OST,2150055872
212,BER,2140061455
213,ITS,2139410770
214,NIN,2139022753
215,LEA,2131394724
216,INA,2115500516
217,MPL,2114302261
218,STO,2113597230
219,ARI,2098441070
220,PRI,2094394221
221,OWN,2094281927
222,ALI,2092006545
223,REE,2078805186
224,ISH,2074242414
225,DES,2065715430
226,EAD,2060206998
227,NST,2054599822
228,SIT,2052297953
229,SES,2048207199
230,ANS,2026036276
231,HAS,2017612960
232,GRE,2001721438
233,ONG,2001446810
234,ALS,2000332681
235,FIC,1997879534
236,UAL,1996324956
237,IEN,1995121823
238,GEN,1991701772
239,SER,1987057848
240,UNT,1982548278
241,ECO,1981693790
242,NTA,1978715787
243,ACE,1977975504
244,CHI,1975189149
245,FER,1975124250
246,TAL,1972799407
247,LOW,1970111275
248,ACH,1966761386
249,IRE,1964868193
250,ANG,1962979826
251,SSE,1960826586
252,GRA,1959140336
253,MON,1955584919
254,FFE,1952351948
255,RAC,1946702195
256,SEL,1944734073
257,UNI,1943038289
258,AKE,1943012492
259,ARY,1933364771
260,WIL,1932036855
261,LED,1931510341
262,DED,1927628435
263,SOM,1911763476
264,OWE,1902222370
265,HAR,1901770930
266,INI,1891645157
267,OPE,1888113123
268,NGE,1885057822
269,UCH,1883741792
270,REL,1881145045
271,CHE,1879547813
272,ADE,1878265265
273,ATT,1875749484
274,CIA,1873567925
275,EXP,1868948910
276,MER,1866252229
277,LIC,1856452455
278,HEM,1837812879
279,ERY,1835595583
280,NSI,1823155367
281,OND,1821563403
282,RTI,1821040658
283,DUC,1819169719
284,HOW,1815729773
285,ERT,1809544701
286,SEE,1801727547
287,NOW,1791229670
288,IMP,1787558291
289,ABO,1787056888
290,PEC,1784226987
291,CEN,1783826555
292,RIS,1782076111
293,MAR,1775964347
294,ENS,1770996323
295,TAI,1765027033
296,ELY,1751308590
297,OMM,1747661259
298,SUR,1735122761
299,HEA,1719821233
300,ULA,1713255664
301,ULT,1712422601
